name,url,adress,phone,schedule,nb_reviews,global_rating,Food_rating,Service_rating,Value_rating,Atmosphere_rating,Meals_detail,FEATURES_detail,CUISINES_detail,Special Diets_detail,priceMin,priceMax
Agora,https://www.tripadvisor.in//Restaurant_Review-g196537-d3863537-Reviews-Agora-Vannes_Morbihan_Brittany.html,"19 Rue de la Boucherie, 56000, Vannes France",+33 2 97 61 50 90, Closed now: ,891,4.5,4.5,4.5,4.5,4.5,"Lunch, Dinner","Highchairs Available, Wheelchair Accessible, Free Wifi, Reservations, Seating, Serves Alcohol, Accepts Credit Cards, Table Service, Wine and Beer, Accepts Visa, Non-smoking restaurants, Gift Cards Available",,,29.0,68.0
Comme A La Maison,https://www.tripadvisor.in//Restaurant_Review-g196537-d12956316-Reviews-Comme_A_La_Maison-Vannes_Morbihan_Brittany.html,"6 Place du General de Gaulle, 56000, Vannes France",+33 2 97 54 16 64, Closed now: ,127,5.0,5.0,5.0,5.0,4.5,,,"French, Healthy",Vegan Options,12.0,30.0
Le Moi de Mets,https://www.tripadvisor.in//Restaurant_Review-g196537-d17539847-Reviews-Le_Moi_de_Mets-Vannes_Morbihan_Brittany.html,"19 Place Maurice Marchais, 56000, Vannes France",+33 2 97 47 17 29, Closed now: ,189,5.0,5.0,5.0,4.5,4.5,"Lunch, Dinner",,"French, European, Healthy",,15.0,37.0
Bvan,https://www.tripadvisor.in//Restaurant_Review-g196537-d24888111-Reviews-Bvan-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Le Thika,https://www.tripadvisor.in//Restaurant_Review-g196537-d10230854-Reviews-Le_Thika-Vannes_Morbihan_Brittany.html,"11 bis Rue Thomas de Closmadeuc, 56000, Vannes France",+33 2 97 69 67 54, Open now: ,465,5.0,4.5,5.0,4.5,,,,"French, Fast food, European, Eastern European, Street Food",Vegetarian Friendly,8.0,14.0
La Tete En L'air,https://www.tripadvisor.in//Restaurant_Review-g196537-d8046689-Reviews-La_Tete_En_L_air-Vannes_Morbihan_Brittany.html,"43 rue de la Fontaine, 56000, Vannes France",+33 2 97 67 31 13, Closed now: ,765,5.0,5.0,4.5,4.5,5.0,,,"French, European, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options",45.0,105.0
Le sous-sol,https://www.tripadvisor.in//Restaurant_Review-g196537-d14019755-Reviews-Le_sous_sol-Vannes_Morbihan_Brittany.html,"15 Place Maurice Marchais, 56000, Vannes France",+33 2 97 47 69 82, Closed now: ,232,5.0,5.0,5.0,4.5,5.0,"Lunch, Dinner, Drinks",,"French, Healthy",,11.0,40.0
Basilic & Co Vannes,https://www.tripadvisor.in//Restaurant_Review-g196537-d13961876-Reviews-Basilic_Co_Vannes-Vannes_Morbihan_Brittany.html,"27 rue Joseph le Brix, 56000, Vannes France",+33 2 97 47 31 34, Closed now: ,611,5.0,4.5,4.5,4.5,,,,"Pizza, European","Vegetarian Friendly, Vegan Options",9.0,15.0
La Gourmandiere,https://www.tripadvisor.in//Restaurant_Review-g196537-d1331669-Reviews-La_Gourmandiere-Vannes_Morbihan_Brittany.html,"Rue du Poignant, 56000, Vannes France",+33 2 97 47 16 13, Open now: ,563,4.5,4.5,4.5,4.5,4.0,"Lunch, Dinner",,"French, European",,55.0,75.0
La Creperie Sarra'Zen,https://www.tripadvisor.in//Restaurant_Review-g196537-d8440918-Reviews-La_Creperie_Sarra_Zen-Vannes_Morbihan_Brittany.html,"21 rue Noe Place du Poids Public, 56000, Vannes France",+33 2 97 68 11 16, Closed now: ,260,5.0,4.5,4.5,4.5,4.5,,,"French, European","Vegetarian Friendly, Vegan Options",10.0,20.0
La Source,https://www.tripadvisor.in//Restaurant_Review-g196537-d1331672-Reviews-La_Source-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Afghan Cafe,https://www.tripadvisor.in//Restaurant_Review-g196537-d967563-Reviews-Afghan_Cafe-Vannes_Morbihan_Brittany.html,"12 rue de la Fontaine, 56000, Vannes France",+33 2 97 42 77 77, Closed now: ,485,4.5,4.5,4.5,4.5,4.0,,,"Middle Eastern, Afghan","Vegetarian Friendly, Vegan Options",20.0,28.0
Le temps d'une Crepe,https://www.tripadvisor.in//Restaurant_Review-g1158736-d5598289-Reviews-Le_temps_d_une_Crepe-Ploeren_Vannes_Morbihan_Brittany.html,"9 Lieu Dit Belean, 56880 Ploeren, Vannes France",+33 2 97 46 02 71, Closed now: ,538,4.5,4.5,4.5,4.5,4.5,,,"French, European","Vegetarian Friendly, Vegan Options",6.0,25.0
La Table Kopins Kopines,https://www.tripadvisor.in//Restaurant_Review-g196537-d21231165-Reviews-La_Table_Kopins_Kopines-Vannes_Morbihan_Brittany.html,"13 Place Maurice Marchais, 56000, Vannes France",+33 2 97 47 69 91, Closed now: ,184,4.5,4.5,4.5,4.0,4.0,"Lunch, Dinner",,"Italian, French, Healthy",,8.0,21.0
Bibo Vino,https://www.tripadvisor.in//Restaurant_Review-g196537-d10733703-Reviews-Bibo_Vino-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Le Roscanvec Restaurant & Chambres,https://www.tripadvisor.in//Restaurant_Review-g196537-d807168-Reviews-Le_Roscanvec_Restaurant_Chambres-Vannes_Morbihan_Brittany.html,"19 rue des Halles, 56000, Vannes France",+33 2 97 47 15 96, Closed now: ,788,4.5,4.5,4.5,4.0,4.0,,,"French, European","Vegetarian Friendly, Gluten Free Options",40.0,110.0
Empreinte,https://www.tripadvisor.in//Restaurant_Review-g196537-d16708031-Reviews-Empreinte-Vannes_Morbihan_Brittany.html,"Place Valencia, 56000, Vannes France",+33 2 97 46 06 42, Closed now: ,125,5.0,5.0,5.0,5.0,,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Table Service","French, Healthy",,,
Creperie Saint-Guenhael,https://www.tripadvisor.in//Restaurant_Review-g196537-d2262415-Reviews-Creperie_Saint_Guenhael-Vannes_Morbihan_Brittany.html,"23 rue Saint-Guenhael, 56000, Vannes France",+33 2 97 47 47 94, Closed now: ,348,4.5,4.5,4.5,4.5,4.5,"Lunch, Dinner",,"French, European","Vegetarian Friendly, Vegan Options",,
Le Vent d'Est,https://www.tripadvisor.in//Restaurant_Review-g196537-d2508256-Reviews-Le_Vent_d_Est-Vannes_Morbihan_Brittany.html,"21 rue Ferdinand le Dressay, 56000, Vannes France",+33 2 97 01 34 53, Closed now: ,475,4.5,4.5,4.5,4.5,4.5,"Lunch, Dinner, After-hours",,"French, European",Vegetarian Friendly,,
Chez la Mere 6 Sous,https://www.tripadvisor.in//Restaurant_Review-g196537-d3680556-Reviews-Chez_la_Mere_6_Sous-Vannes_Morbihan_Brittany.html,"11 rue Thomas de Closmadeuc, 56000, Vannes France",+33 2 97 01 93 67, Closed now: ,1043,4.5,4.5,4.5,4.5,5.0,"Lunch, Dinner, Drinks","Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service","French, Healthy",,,
Rive Gauche,https://www.tripadvisor.in//Restaurant_Review-g196537-d1045278-Reviews-Rive_Gauche-Vannes_Morbihan_Brittany.html,"5 Place Gambetta, 56000, Vannes France",+33 2 97 47 02 40, Closed now: ,535,4.5,4.5,4.5,4.0,4.0,"Lunch, Dinner, After-hours",,"French, European",,14.0,42.0
Le Homard Frites Vannes,https://www.tripadvisor.in//Restaurant_Review-g196537-d7381545-Reviews-Le_Homard_Frites_Vannes-Vannes_Morbihan_Brittany.html,"5 Place de Stalingrad, 56000, Vannes France",+33 6 60 21 65 28, Closed now: ,838,4.5,4.5,4.5,4.5,4.5,"Lunch, Dinner, Drinks",,"French, Seafood, European, Healthy",,20.0,70.0
L'Eden,https://www.tripadvisor.in//Restaurant_Review-g196537-d1331884-Reviews-L_Eden-Vannes_Morbihan_Brittany.html,"3 rue Pasteur, 56000, Vannes France",+33 2 97 46 42 62, Open now: ,531,4.5,4.5,4.5,4.5,4.0,,,"French, Healthy, Gastropub, Dining bars",Vegetarian Friendly,14.0,32.0
Le Tandem,https://www.tripadvisor.in//Restaurant_Review-g196537-d8631426-Reviews-Le_Tandem-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
L'Annexe,https://www.tripadvisor.in//Restaurant_Review-g196537-d2666388-Reviews-L_Annexe-Vannes_Morbihan_Brittany.html,"18 rue Emile Burgault, 56000, Vannes France",+33 2 97 42 58 85, Closed now: ,578,4.5,4.5,4.0,4.0,4.0,,,"French, Contemporary","Vegetarian Friendly, Vegan Options",19.0,65.0
Le Coq a L'Ane,https://www.tripadvisor.in//Restaurant_Review-g196537-d4379381-Reviews-Le_Coq_a_L_Ane-Vannes_Morbihan_Brittany.html,"17 Place du General de Gaulle, 56000, Vannes France",+33 2 90 99 29 38, Closed now: ,345,4.5,4.5,4.5,4.5,4.5,"Lunch, Dinner",,"French, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",,
Iode,https://www.tripadvisor.in//Restaurant_Review-g196537-d20133914-Reviews-Iode-Vannes_Morbihan_Brittany.html,"9 rue Aristide Briand, 56000, Vannes France",+33 2 97 47 76 14, Closed now: ,117,5.0,4.5,4.5,4.5,,"Lunch, Dinner",,"French, Healthy",,29.0,85.0
A L'Image Sainte-Anne,https://www.tripadvisor.in//Restaurant_Review-g196537-d4088209-Reviews-A_L_Image_Sainte_Anne-Vannes_Morbihan_Brittany.html,"8 Place de la Liberation, 56000, Vannes France",+33 2 97 63 27 36, Closed now: ,336,4.5,4.5,4.5,4.5,4.0,"Breakfast, Lunch, Dinner, Drinks",,"French, European, Gastropub",,17.0,37.0
Sushiya,https://www.tripadvisor.in//Restaurant_Review-g196537-d3456724-Reviews-Sushiya-Vannes_Morbihan_Brittany.html,"13 rue Thomas de Closmadeuc, 56000, Vannes France",+33 9 83 29 03 15, Closed now: ,760,4.5,4.5,4.5,4.0,4.0,,,"Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options",13.0,24.0
Creperie du port,https://www.tripadvisor.in//Restaurant_Review-g196537-d2320451-Reviews-Creperie_du_port-Vannes_Morbihan_Brittany.html,"32 rue du Port, 56000, Vannes France",+33 2 97 43 40 57, Closed now: ,752,4.5,4.0,4.0,4.0,4.0,,,French,"Vegetarian Friendly, Vegan Options",15.0,29.0
Creperie Billig Breizh,https://www.tripadvisor.in//Restaurant_Review-g196537-d5541881-Reviews-Creperie_Billig_Breizh-Vannes_Morbihan_Brittany.html,"4 Place Theodore Decker, 56000, Vannes France",0033297636553, Closed now: ,755,4.5,4.5,4.5,4.5,4.0,"Lunch, Dinner",,"French, European, Healthy",Vegetarian Friendly,,
La P'tite Souris,https://www.tripadvisor.in//Restaurant_Review-g196537-d3359921-Reviews-La_P_tite_Souris-Vannes_Morbihan_Brittany.html,"36 rue du Port, 56000, Vannes France",+33 2 97 47 15 90, Closed now: ,1115,4.5,4.5,4.5,4.5,4.0,"Lunch, Dinner",,"French, European, Healthy",Vegetarian Friendly,,
Fabbrica Pizza,https://www.tripadvisor.in//Restaurant_Review-g196537-d10263220-Reviews-Fabbrica_Pizza-Vannes_Morbihan_Brittany.html,"5 rue Winston Churchill, 56000, Vannes France",+33 2 97 53 12 69, Closed now: ,202,5.0,5.0,4.5,5.0,,,,"Italian, Pizza",Vegetarian Friendly,6.0,15.0
Derriere,https://www.tripadvisor.in//Restaurant_Review-g196537-d9867333-Reviews-Derriere-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Dan Ewen,https://www.tripadvisor.in//Restaurant_Review-g196537-d967566-Reviews-Dan_Ewen-Vannes_Morbihan_Brittany.html,"3 Place du General de Gaulle Quartier Saint Patern, 56000, Vannes France",+33 2 97 42 44 34, Closed now: ,901,4.5,4.5,4.0,4.5,4.0,,,"French, Healthy","Vegetarian Friendly, Gluten Free Options",7.0,20.0
Le Comptoir du Port,https://www.tripadvisor.in//Restaurant_Review-g196537-d2231894-Reviews-Le_Comptoir_du_Port-Vannes_Morbihan_Brittany.html,"8 rue du Port, 56000, Vannes France",+33 2 97 47 93 38, Open now: ,479,4.5,4.5,4.5,4.5,4.5,,,"French, European",Vegetarian Friendly,8.0,15.0
Daily Gourmand,https://www.tripadvisor.in//Restaurant_Review-g196537-d6690601-Reviews-Daily_Gourmand-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Piano Barge,https://www.tripadvisor.in//Restaurant_Review-g196537-d4827408-Reviews-Piano_Barge-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Les Oliviers,https://www.tripadvisor.in//Restaurant_Review-g196537-d3350638-Reviews-Les_Oliviers-Vannes_Morbihan_Brittany.html,"60 avenue de Verdun, 56000, Vannes France",+33 2 97 54 64 99, Closed now: ,131,4.5,4.5,4.5,4.5,4.0,"Lunch, Dinner",,French,,22.0,30.0
Balade en Crepanie,https://www.tripadvisor.in//Restaurant_Review-g196537-d1487977-Reviews-Balade_en_Crepanie-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
La Table de Jeanne,https://www.tripadvisor.in//Restaurant_Review-g196537-d967569-Reviews-La_Table_de_Jeanne-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Signe Lecocq,https://www.tripadvisor.in//Restaurant_Review-g196537-d7289242-Reviews-Signe_Lecocq-Vannes_Morbihan_Brittany.html,"5 rue Saint Vincent, 56000, Vannes France",+33 2 97 54 19 17, Closed now: ,676,4.0,4.5,4.0,4.0,4.0,"Lunch, Dinner",,"Healthy, Gastropub","Vegetarian Friendly, Vegan Options",,
Atypic,https://www.tripadvisor.in//Restaurant_Review-g196537-d21141620-Reviews-Atypic-Vannes_Morbihan_Brittany.html,"15 Bis, Rue Noe, 56000, Vannes France",+33 2 97 47 82 19, Closed now: ,98,4.5,4.5,4.5,4.5,,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Table Service","French, Healthy",,,
Au Pont Vert,https://www.tripadvisor.in//Restaurant_Review-g196537-d2480086-Reviews-Au_Pont_Vert-Vannes_Morbihan_Brittany.html,"40 av du Mal de Lattre de Tassigny, 56000, Vannes France",+33 2 97 40 80 13, Closed now: ,190,4.5,4.5,4.5,4.5,4.0,"Lunch, Dinner",,French,,15.0,23.0
Cosy,https://www.tripadvisor.in//Restaurant_Review-g196537-d4044088-Reviews-Cosy-Vannes_Morbihan_Brittany.html,"2 Place Maurice Marchais, 56000, Vannes France",+33 2 97 47 63 93, Closed now: ,412,4.0,4.0,4.0,4.0,4.0,"Lunch, Dinner, After-hours",,"Italian, French, European","Vegetarian Friendly, Vegan Options",,
Ryoko - Comptoir A Ramen,https://www.tripadvisor.in//Restaurant_Review-g196537-d23197770-Reviews-Ryoko_Comptoir_A_Ramen-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Les 3 singes,https://www.tripadvisor.in//Restaurant_Review-g196537-d17389197-Reviews-Les_3_singes-Vannes_Morbihan_Brittany.html,"4 Place Bir Hakeim, 56000, Vannes France",+33 2 56 63 61 23, Closed now: ,83,5.0,4.5,4.5,4.0,,"Lunch, Dinner","Reservations, Seating, Serves Alcohol, Table Service","French, Healthy",,,
Chez Mone,https://www.tripadvisor.in//Restaurant_Review-g196537-d6857596-Reviews-Chez_Mone-Vannes_Morbihan_Brittany.html,"30 rue Thiers, 56000, Vannes France",+33 2 97 54 32 06,,172,4.5,4.5,4.5,4.0,4.5,"Lunch, Dinner",,"Asian, Thai, Vietnamese",Vegetarian Friendly,,
Creperie La Taupiniere,https://www.tripadvisor.in//Restaurant_Review-g196537-d1331673-Reviews-Creperie_La_Taupiniere-Vannes_Morbihan_Brittany.html,"9 Place des Lices, 56000, Vannes France",+33 2 97 42 57 82,,217,4.5,4.5,4.5,4.5,4.0,"Lunch, Dinner",,French,Vegetarian Friendly,,
La Nonna Lilia,https://www.tripadvisor.in//Restaurant_Review-g196537-d12859315-Reviews-La_Nonna_Lilia-Vannes_Morbihan_Brittany.html,"11 rue Thomas de Closmadeuc, 56000, Vannes France",+33 9 86 65 59 80, Closed now: ,208,4.5,4.5,4.5,4.0,,"Lunch, Dinner",,"Italian, Pizza, Tuscan, Romana, Lazio, Central-Italian","Vegetarian Friendly, Vegan Options",,
Le Petit Refuge,https://www.tripadvisor.in//Restaurant_Review-g196537-d4451937-Reviews-Le_Petit_Refuge-Vannes_Morbihan_Brittany.html,"2 rue Thomas de Closmadeuc, 56000, Vannes France",+33 9 67 02 71 38, Closed now: ,190,4.5,4.5,4.5,4.5,4.5,,,"French, Healthy, European",Vegetarian Friendly,9.0,13.0
Le Bagel Ouest,https://www.tripadvisor.in//Restaurant_Review-g196537-d7356125-Reviews-Le_Bagel_Ouest-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Saveurs de l'Inde,https://www.tripadvisor.in//Restaurant_Review-g196537-d8452355-Reviews-Saveurs_de_l_Inde-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Le P'tit Belon,https://www.tripadvisor.in//Restaurant_Review-g196537-d8575140-Reviews-Le_P_tit_Belon-Vannes_Morbihan_Brittany.html,"3 Place de la Poissonnerie, 56000, Vannes France",+33 2 97 43 24 16, Closed now: ,238,4.5,4.5,4.5,4.5,,"Lunch, Dinner",,French,,7.0,30.0
L'EntreChoc,https://www.tripadvisor.in//Restaurant_Review-g196537-d5889240-Reviews-L_EntreChoc-Vannes_Morbihan_Brittany.html,"3 rue Saint Guenhael, 56000, Vannes France",+33 9 50 66 93 95, Closed now: ,212,4.5,4.5,4.5,4.5,4.5,"Lunch, Brunch, Drinks",,"French, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",,
L'Antre de Nous,https://www.tripadvisor.in//Restaurant_Review-g1158736-d16785766-Reviews-L_Antre_de_Nous-Ploeren_Vannes_Morbihan_Brittany.html,"7 avenue Eric Tabarly, 56880 Ploeren, Vannes France",+33 2 97 69 37 18, Closed now: ,76,5.0,5.0,5.0,5.0,,"Lunch, Dinner",,French,,13.0,27.0
L'Accord Gourmet,https://www.tripadvisor.in//Restaurant_Review-g196537-d12391074-Reviews-L_Accord_Gourmet-Vannes_Morbihan_Brittany.html,"17 rue Hoche, 56000, Vannes France",+33 9 81 62 34 20, Closed now: ,88,4.5,5.0,5.0,4.5,,,,"French, European, Gastropub","Vegetarian Friendly, Vegan Options, Gluten Free Options",15.0,25.0
Le Rozili,https://www.tripadvisor.in//Restaurant_Review-g196537-d4814746-Reviews-Le_Rozili-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Creperie Au Vieux Vannes,https://www.tripadvisor.in//Restaurant_Review-g196537-d4427916-Reviews-Creperie_Au_Vieux_Vannes-Vannes_Morbihan_Brittany.html,"17 rue Emile Burgault, 56000, Vannes France",+33 2 97 47 12 62, Closed now: ,456,4.0,4.0,4.0,4.0,4.0,"Lunch, Dinner",,"French, Healthy",Vegetarian Friendly,,
Creperie St Vincent,https://www.tripadvisor.in//Restaurant_Review-g196537-d2256571-Reviews-Creperie_St_Vincent-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Le District,https://www.tripadvisor.in//Restaurant_Review-g196537-d13834713-Reviews-Le_District-Vannes_Morbihan_Brittany.html,"13 rue Thomas de Closmadeuc, 56000, Vannes France",+33 2 97 41 93 05, Closed now: ,55,5.0,5.0,5.0,5.0,,,,"French, American",Vegetarian Friendly,9.0,20.0
La Brasserie Bleue,https://www.tripadvisor.in//Restaurant_Review-g196537-d1868348-Reviews-La_Brasserie_Bleue-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
Creperie Brasserie Le Moulin du Roy,https://www.tripadvisor.in//Restaurant_Review-g196537-d6922826-Reviews-Creperie_Brasserie_Le_Moulin_du_Roy-Vannes_Morbihan_Brittany.html,"14 Place Gambetta, 56000, Vannes France",+33 2 97 61 52 78, Closed now: ,570,4.0,4.0,4.0,4.0,4.0,"Lunch, Dinner",,"French, European",Vegetarian Friendly,,
Chez Marcelle,https://www.tripadvisor.in//Restaurant_Review-g196537-d21118834-Reviews-Chez_Marcelle-Vannes_Morbihan_Brittany.html,"13 rue Saint Guenhael, 56000, Vannes France",+33 2 97 49 70 95, Closed now: ,62,4.5,5.0,5.0,4.5,,"Lunch, Dinner, After-hours, Drinks",,"French, Healthy",,6.0,32.0
Restaurant Indien L’Indus,https://www.tripadvisor.in//Restaurant_Review-g196537-d19911488-Reviews-Restaurant_Indien_L_Indus-Vannes_Morbihan_Brittany.html,"49 rue de la Fontaine, 56000, Vannes France",+33 2 97 47 67 86, Closed now: ,66,4.5,4.5,4.0,4.0,,"Lunch, Dinner",,"Indian, Pakistani, Healthy",,11.0,32.0
Karpa,https://www.tripadvisor.in//Restaurant_Review-g196537-d3537275-Reviews-Karpa-Vannes_Morbihan_Brittany.html,"28 rue du Port, 56000, Vannes France",+33 2 97 47 48 34, Closed now: ,623,4.0,4.0,4.0,4.0,4.0,"Lunch, Dinner, After-hours",,"Italian, French, European",Vegetarian Friendly,,
Delice Cafe Vannes,https://www.tripadvisor.in//Restaurant_Review-g196537-d3977871-Reviews-Delice_Cafe_Vannes-Vannes_Morbihan_Brittany.html,"7 Place des Lices, 56000, Vannes France",+33 2 97 54 23 31, Open now: ,189,4.0,4.0,4.5,4.0,4.0,"Breakfast, Lunch, Drinks","Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Table Service","French, Cafe, European",,,
Don Camillo,https://www.tripadvisor.in//Restaurant_Review-g196537-d3531484-Reviews-Don_Camillo-Vannes_Morbihan_Brittany.html,"20 rue du Port, 56000, Vannes France",+33 2 97 54 04 38, Closed now: ,252,4.0,4.0,4.0,4.0,4.0,"Lunch, Dinner, After-hours",,"Italian, Pizza","Vegetarian Friendly, Vegan Options",,
Le Cafe des Orfevres,https://www.tripadvisor.in//Restaurant_Review-g196537-d14215556-Reviews-Le_Cafe_des_Orfevres-Vannes_Morbihan_Brittany.html,"18 rue des Vierges, 56000, Vannes France",+33 2 57 96 02 55, Closed now: ,60,4.5,4.0,4.5,4.0,,"Breakfast, Lunch, Brunch, Drinks",,"Cafe, French, European, Healthy","Vegetarian Friendly, Vegan Options",,
Sushi Pearl,https://www.tripadvisor.in//Restaurant_Review-g196537-d8540314-Reviews-Sushi_Pearl-Vannes_Morbihan_Brittany.html,"7 rue Alain le grand Quartier Saint Patern, 56000, Vannes France",+33 2 97 54 35 96, Closed now: ,128,4.0,4.5,4.0,4.0,,,,"Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options",14.0,35.0
Pizzeria Villa Romana,https://www.tripadvisor.in//Restaurant_Review-g196537-d2249243-Reviews-Pizzeria_Villa_Romana-Vannes_Morbihan_Brittany.html,,,,0,,,,,,,,,,,
1930 Conleau,https://www.tripadvisor.in//Restaurant_Review-g196537-d20990029-Reviews-1930_Conleau-Vannes_Morbihan_Brittany.html,"3 allee des Freres Cadoret, 56000, Vannes France",+33 2 97 26 25 68, Closed now: ,151,4.0,4.5,4.5,4.0,,"Lunch, Dinner, After-hours, Drinks",,"Seafood, Dining bars, Bar, Healthy, French",,12.0,30.0
